metric,mean,std
HeartRate,72.58310204114251,22.37545513374301
BodyMass,61.7516,4.530542930212667
DistanceSwimming,24.0,0.0
EnvironmentalSoundReduction,13.81275993824228,3.56042528719522
OxygenSaturation,0.9741727250938724,0.021291323005172
StepCount,116.80339199183882,268.35915226764314
EnvironmentalAudioExposure,60.45500182833489,12.536234553096811
RunningPower,96.0976,
RunningSpeed,3.69458,
DistanceCycling,0.03710790402808609,1.4166558418224808
WalkingAsymmetryPercentage,0.02045537473545939,0.06697182543616047
DistanceWalkingRunning,0.05692506492493771,0.14703578961764824
RespiratoryRate,17.854666363533024,1.7686876029615521
SwimmingStrokeCount,7.9361702127659575,2.7928811313545086
RestingHeartRate,56.23534715960324,4.787126840359374
StairDescentSpeed,1.2795508635658914,0.39740440411222927
SixMinuteWalkTestDistance,477.05970149253733,33.09425164042158
Height,5.527776666666667,0.1734748354469123
AppleWalkingSteadiness,0.96209368,0.030632387947910046
VO2Max,39.56279411764706,1.951515903582564
HeartRateRecoveryOneMinute,36.43863235294118,11.371724392380036
HKDataTypeSleepDurationGoal,7.166666666666667,0.7637626158259734
HeartRateVariabilitySDNN,64.98992575502444,26.88358466315742
WalkingSpeed,2.495213703373502,0.4867827475460582
AppleExerciseTime,1.0,0.0
BasalEnergyBurned,7.52757972720128,10.822754995670628
WalkingHeartRateAverage,91.6359561752988,12.381087110104176
WalkingStepLength,24.381981640104506,3.3094008979650584
StairAscentSpeed,1.0627886583732058,0.362377040242945
PhysicalEffort,3.5368830904357993,1.7324046275278882
NumberOfTimesFallen,1.0,
TimeInDaylight,4.269765048876693,1.265362515132615
DietaryWater,216.66454864864863,60.10718436040655
ActiveEnergyBurned,0.6713681683152672,1.9836641690416623
HeadphoneAudioExposure,66.73761893836281,13.154827465908989
WalkingDoubleSupportPercentage,0.28498309110244596,0.017066631522762797
FlightsClimbed,1.8335483870967741,2.381151179632787
AppleStandTime,2.178863409770688,1.3318505558417253
Body weight Measured,60.06250443168795,4.1761477438321775
Heart rate,66.05370601891971,14.632947608734048
Oxygen saturation,0.974485980138007,0.02004900047513719
Oral fluid input,214.74902416666663,50.4498124807307
